HOUSING/HOSTEL NAME,DIVISION,PHYSICAL LOCATION,LOCATION CORDINATES,X,Y,HAS WIFI INTERNET,SERVICE PROVIDER,CONNECTED TO OPTICAL FIBRE(YES/NO),URL GOOGLE MAPS
IUEA Girls Hostel 2,Makindye,Kansanga,"0.284208118,32.60699117",0.284208118,32.60699117,,,,"https://www.google.com/maps/place/IUEA+Girls+Hostel+1/@0.2842201,32.5979882,2164m/data=!3m1!1e3!4m10!1m2!2m1!1sIUEA+Girls+Hoste!3m6!1s0x177dbd148782171d:0x9a1a82f540f0e9bc!8m2!3d0.2842201!4d32.6070004!15sChBJVUVBIEdpcmxzIEhvc3RlkgEGaG9zdGVs4AEA!16s%2Fg%2F11sd_vht8h?entry=ttu"
IUEA Girls Hostel,Makindye,Kansanga,"0.285589904, 32.60779622",0.285589904,32.60779622,,,,"https://www.google.com/maps/place/IUEA+Girls+Hostel/@0.294087,32.5327802,17313m/data=!3m1!1e3!4m10!1m2!2m1!1siuea+hostel!3m6!1s0x177dbdd2af872887:0x7f1006f364eb5b4d!8m2!3d0.2823969!4d32.6070715!15sCgtpdWVhIGhvc3RlbJIBBmhvc3RlbOABAA!16s%2Fg%2F11k4w2rjgn?entry=ttu"
Maria Hostel,Makindye,Kansanga,"0.347019612, 32.60114928",0.288532811,32.60114928,,,,"https://www.google.com/maps/place/Maria+Hostel/@0.2882485,32.5966861,1082m/data=!3m1!1e3!4m10!1m2!2m1!1smama+hostel,+kansanga!3m6!1s0x177dbdfe5fad3cdb:0x30f135aabaae5169!8m2!3d0.2882485!4d32.6011922!15sChVtYW1hIGhvc3RlbCwga2Fuc2FuZ2GSARZzdHVkZW50X2hvdXNpbmdfY2VudGVy4AEA!16s%2Fg%2F11j4_kkbd4?entry=ttu"
State House Hostel,Makindye,Kansanga,"0.291103046, 32.60498017",0.291103046,32.60498017,,,,"https://www.google.com/maps/search/iuea+hostel/@0.2901938,32.603167,541m/data=!3m1!1e3?entry=ttu"
Tricam Hostel,Kawempe,Kikoni,"0.2912679736595071, 32.55618670982265",0.291267974,32.55618671,,,,"https://www.google.com/maps/place/Tricam+Courts+Hostel/@0.2910588,32.5530861,1082m/data=!3m2!1e3!4b1!4m6!3m5!1s0x177dbdaa588a1649:0x85fac5aad4f9d9e7!8m2!3d0.2910534!4d32.555661!16s%2Fg%2F11p0ztn4tf?entry=ttu"
Osophia Hostel,Makindye,Kansanga,"0.294363098, 32.60261169",0.294363098,32.60261169,,,,"https://www.google.com/maps/place/Osophia+Hostel/@0.2938803,32.5972473,2164m/data=!3m1!1e3!4m10!1m2!2m1!1siuea+hostel!3m6!1s0x177dbc47aa3323ad:0xb4f46c7407059d74!8m2!3d0.2938454!4d32.6026046!15sCgtpdWVhIGhvc3RlbJIBBmhvc3RlbOABAA!16s%2Fg%2F12hp4mvzh?entry=ttu"
KIU Girls Hostel,Makindye,KIU Gaba road,"0.2946024546741572, 32.60496393068355",0.294602455,32.60496393,Yes,,No,"https://www.google.com/maps/place/KIU+Girl's+Hostel/@0.2935725,32.5327803,17313m/data=!3m1!1e3!4m10!1m2!2m1!1skiu+girls+hostel!3m6!1s0x177dbc47865e70b9:0x952b8026be9b9e66!8m2!3d0.2935725!4d32.6048781!15sChBraXUgZ2lybHMgaG9zdGVsWhIiEGtpdSBnaXJscyBob3N0ZWySAQZob3N0ZWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnRiR1JwY0RsUlJSQULgAQA!16s%2Fg%2F1tcz0659?entry=ttu"
Eyte Hostel,Makindye,Kansanga,"0.294617446, 32.60546415",0.294617446,32.60546415,,,,"https://www.google.com/maps/place/Eyte+Hostel+Kansanga/@0.2917485,32.5944936,3640m/data=!3m1!1e3!4m10!1m2!2m1!1siuea+hostel!3m6!1s0x177dbda2f8abc003:0x45140677680536a5!8m2!3d0.2938942!4d32.6055767!15sCgtpdWVhIGhvc3RlbJIBDHlvdXRoX2hvc3RlbOABAA!16s%2Fg%2F11nyp2x2vf?entry=ttu"
Kakinga Hostel,Makindye,Kansanga,"0.296389874, 32.60577671",0.296389874,32.60577671,,,,"https://www.google.com/maps/place/Kakinga+Hostel/@0.2961807,32.603234,1082m/data=!3m2!1e3!4b1!4m6!3m5!1s0x177dbc3f5278d5ab:0xd8c24f7aa46697b7!8m2!3d0.2961753!4d32.6058089!16s%2Fg%2F1hf2py75d?entry=ttu"
Elyte Hostel,Makindye,Banda,"0.296502188, 32.60593134",0.296502188,32.60593134,,,,"https://www.google.com/maps/place/Elyte+Hostel/@0.2962501,32.6033028,1082m/data=!3m2!1e3!4b1!4m6!3m5!1s0x177dbc3f4e187003:0xd9145b60c8ff54a1!8m2!3d0.2962447!4d32.6058777!16s%2Fg%2F11dxjwh60t?entry=ttu"
